"","subject","item","list","phrase","word","raw_rt","sentence","removed_rt","subject2","rt","accessible_G","inaccessible_G","accessible","inaccessible"
"136067",41,1,"binding4","5","himself",3885,"Miss Carroll said that the girl cut himself with a knife while cooking.",3885,"41/5",NA,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"146724",45,1,"binding4","5","himself",949,"Miss Carroll said that the girl cut himself with a knife while cooking.",949,"45/5",949,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"152302",46,1,"binding4","5","himself",1103,"Miss Carroll said that the girl cut himself with a knife while cooking.",1103,"46/5",1103,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"155927",47,1,"binding4","5","himself",934,"Miss Carroll said that the girl cut himself with a knife while cooking.",934,"47/5",934,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"25512",3,2,"binding1","5","herself",600,"Miss Kelly said that the woman taught herself how to cook last year.",600,"3/5",600,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"31488",5,2,"binding1","5","herself",289,"Miss Kelly said that the woman taught herself how to cook last year.",289,"5/5",289,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"35252",7,2,"binding1","5","herself",351,"Miss Kelly said that the woman taught herself how to cook last year.",351,"7/5",351,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"39605",8,2,"binding1","5","herself",521,"Miss Kelly said that the woman taught herself how to cook last year.",521,"8/5",521,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"47102",11,2,"binding1","5","herself",374,"Miss Kelly said that the woman taught herself how to cook last year.",374,"11/5",374,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"74044",20,2,"binding1","5","herself",599,"Miss Kelly said that the woman taught herself how to cook last year.",599,"20/5",599,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"93416",26,2,"binding1","5","herself",1089,"Miss Kelly said that the woman taught herself how to cook last year.",1089,"26/5",1089,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"102261",29,2,"binding1","5","herself",1832,"Miss Kelly said that the woman taught herself how to cook last year.",1832,"29/5",NA,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"108818",32,2,"binding1","5","herself",1019,"Miss Kelly said that the woman taught herself how to cook last year.",1019,"32/5",NA,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"126193",37,2,"binding1","5","herself",527,"Miss Kelly said that the woman taught herself how to cook last year.",527,"37/5",527,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"128881",38,2,"binding1","5","herself",36,"Miss Kelly said that the woman taught herself how to cook last year.",NA,"38/5",NA,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"132813",40,2,"binding1","5","herself",1170,"Miss Kelly said that the woman taught herself how to cook last year.",1170,"40/5",1170,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"136802",41,2,"binding1","5","herself",724,"Miss Kelly said that the woman taught herself how to cook last year.",724,"41/5",724,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"145737",45,2,"binding1","5","herself",508,"Miss Kelly said that the woman taught herself how to cook last year.",508,"45/5",508,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"152659",46,2,"binding1","5","herself",711,"Miss Kelly said that the woman taught herself how to cook last year.",711,"46/5",711,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"154163",47,2,"binding1","5","herself",604,"Miss Kelly said that the woman taught herself how to cook last year.",604,"47/5",604,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"42902",10,2,"binding2","5","herself",475,"Mr. Johnson said that the woman taught herself how to cook last year.",475,"10/5",475,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"52246",13,2,"binding2","5","herself",618,"Mr. Johnson said that the woman taught herself how to cook last year.",618,"13/5",618,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"55136",14,2,"binding2","5","herself",432,"Mr. Johnson said that the woman taught herself how to cook last year.",432,"14/5",432,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
