"","subject","item","list","phrase","word","raw_rt","sentence","removed_rt","subject2","rt","accessible_G","inaccessible_G","accessible","inaccessible"
"42903",10,2,"binding2","6","how to cook",664,"Mr. Johnson said that the woman taught herself how to cook last year.",664,"10/6",664,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"52247",13,2,"binding2","6","how to cook",1008,"Mr. Johnson said that the woman taught herself how to cook last year.",1008,"13/6",1008,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"55137",14,2,"binding2","6","how to cook",451,"Mr. Johnson said that the woman taught herself how to cook last year.",451,"14/6",451,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"58041",15,2,"binding2","6","how to cook",1734,"Mr. Johnson said that the woman taught herself how to cook last year.",1734,"15/6",1734,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"64878",18,2,"binding2","6","how to cook",2047,"Mr. Johnson said that the woman taught herself how to cook last year.",2047,"18/6",2047,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"74297",21,2,"binding2","6","how to cook",1184,"Mr. Johnson said that the woman taught herself how to cook last year.",1184,"21/6",1184,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"82247",23,2,"binding2","6","how to cook",2281,"Mr. Johnson said that the woman taught herself how to cook last year.",2281,"23/6",2281,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"130848",39,2,"binding2","6","how to cook",710,"Mr. Johnson said that the woman taught herself how to cook last year.",710,"39/6",710,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"138895",42,2,"binding2","6","how to cook",1171,"Mr. Johnson said that the woman taught herself how to cook last year.",1171,"42/6",1171,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"141638",43,2,"binding2","6","how to cook",474,"Mr. Johnson said that the woman taught herself how to cook last year.",474,"43/6",474,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"15052",1,2,"binding3","6","how to cook",697,"Mr. Johnson said that the woman taught himself how to cook last year.",697,"1/6",697,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"28116",4,2,"binding3","6","how to cook",496,"Mr. Johnson said that the woman taught himself how to cook last year.",496,"4/6",496,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"33056",6,2,"binding3","6","how to cook",1533,"Mr. Johnson said that the woman taught himself how to cook last year.",1533,"6/6",NA,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"41055",9,2,"binding3","6","how to cook",549,"Mr. Johnson said that the woman taught himself how to cook last year.",549,"9/6",549,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"49357",12,2,"binding3","6","how to cook",871,"Mr. Johnson said that the woman taught himself how to cook last year.",871,"12/6",871,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"60427",16,2,"binding3","6","how to cook",636,"Mr. Johnson said that the woman taught himself how to cook last year.",636,"16/6",636,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"67138",19,2,"binding3","6","how to cook",955,"Mr. Johnson said that the woman taught himself how to cook last year.",955,"19/6",955,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"80959",22,2,"binding3","6","how to cook",912,"Mr. Johnson said that the woman taught himself how to cook last year.",912,"22/6",912,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"86390",24,2,"binding3","6","how to cook",621,"Mr. Johnson said that the woman taught himself how to cook last year.",621,"24/6",621,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"90716",25,2,"binding3","6","how to cook",1178,"Mr. Johnson said that the woman taught himself how to cook last year.",1178,"25/6",1178,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"98399",28,2,"binding3","6","how to cook",1047,"Mr. Johnson said that the woman taught himself how to cook last year.",1047,"28/6",1047,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"103787",30,2,"binding3","6","how to cook",1114,"Mr. Johnson said that the woman taught himself how to cook last year.",1114,"30/6",1114,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"120211",35,2,"binding3","6","how to cook",976,"Mr. Johnson said that the woman taught himself how to cook last year.",976,"35/6",976,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"122212",36,2,"binding3","6","how to cook",910,"Mr. Johnson said that the woman taught himself how to cook last year.",910,"36/6",910,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"144570",44,2,"binding3","6","how to cook",507,"Mr. Johnson said that the woman taught himself how to cook last year.",507,"44/6",507,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"22693",2,2,"binding4","6","how to cook",464,"Miss Kelly said that the woman taught himself how to cook last year.",464,"2/6",464,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"62309",17,2,"binding4","6","how to cook",658,"Miss Kelly said that the woman taught himself how to cook last year.",658,"17/6",658,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"96041",27,2,"binding4","6","how to cook",2522,"Miss Kelly said that the woman taught himself how to cook last year.",2522,"27/6",2522,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"107258",31,2,"binding4","6","how to cook",516,"Miss Kelly said that the woman taught himself how to cook last year.",516,"31/6",516,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"115271",33,2,"binding4","6","how to cook",610,"Miss Kelly said that the woman taught himself how to cook last year.",610,"33/6",610,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"117755",34,2,"binding4","6","how to cook",876,"Miss Kelly said that the woman taught himself how to cook last year.",876,"34/6",876,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
