"","subject","item","list","phrase","word","rt","sentence","accessible_G","inaccessible_G","accessible","inaccessible"
"129839",39,1,"binding1","5","herself",1107,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"129840",39,1,"binding1","6","with a knife",1484,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"129841",39,1,"binding1","7","while cooking.",1966,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"138667",42,1,"binding1","1","Miss Carroll",751,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"138681",42,1,"binding1","2","said that",841,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"138682",42,1,"binding1","3","the girl",533,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"138683",42,1,"binding1","4","cut",493,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"138684",42,1,"binding1","5","herself",385,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"138685",42,1,"binding1","6","with a knife",922,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"138686",42,1,"binding1","7","while cooking.",1981,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"142704",43,1,"binding1","1","Miss Carroll",1346,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"142705",43,1,"binding1","2","said that",1340,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"142706",43,1,"binding1","3","the girl",469,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"142707",43,1,"binding1","4","cut",991,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"142708",43,1,"binding1","5","herself",940,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
