"subject","item","rt","accessible","inaccessible","group","region","trial","accessible_g","inaccessible_g","group_g","region_g"
"Native 47",1,"372",1,-1,-1,-1,"Native 47 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 47",1,"380",1,-1,-1,1,"Native 47 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 48",1,"405",1,-1,-1,-1,"Native 48 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 48",1,"1418",1,-1,-1,1,"Native 48 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 49",1,"376",1,-1,-1,-1,"Native 49 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 49",1,"522",1,-1,-1,1,"Native 49 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 50",1,"744",1,-1,-1,-1,"Native 50 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 50",1,"724",1,-1,-1,1,"Native 50 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 51",1,"1349",1,-1,-1,-1,"Native 51 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 51",1,"866",1,-1,-1,1,"Native 51 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 52",1,"520",1,-1,-1,-1,"Native 52 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 52",1,"520",1,-1,-1,1,"Native 52 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 53",1,"434",1,-1,-1,-1,"Native 53 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 53",1,"530",1,-1,-1,1,"Native 53 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 54",1,"359",1,-1,-1,-1,"Native 54 1","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 54",1,"604",1,-1,-1,1,"Native 54 1","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 55",1,"266",1,1,-1,-1,"Native 55 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 55",1,"264",1,1,-1,1,"Native 55 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 56",1,"421",1,1,-1,-1,"Native 56 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 56",1,"1100",1,1,-1,1,"Native 56 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 57",1,"354",1,1,-1,-1,"Native 57 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 57",1,"807",1,1,-1,1,"Native 57 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 58",1,"578",1,1,-1,-1,"Native 58 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 58",1,"576",1,1,-1,1,"Native 58 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 59",1,"480",1,1,-1,-1,"Native 59 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 59",1,"2873",1,1,-1,1,"Native 59 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 60",1,"413",1,1,-1,-1,"Native 60 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 60",1,"677",1,1,-1,1,"Native 60 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 61",1,"312",1,1,-1,-1,"Native 61 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 61",1,"360",1,1,-1,1,"Native 61 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 62",1,"344",1,1,-1,-1,"Native 62 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 62",1,"481",1,1,-1,1,"Native 62 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 63",1,"500",1,1,-1,-1,"Native 63 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 63",1,"528",1,1,-1,1,"Native 63 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 64",1,"311",1,1,-1,-1,"Native 64 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 64",1,"325",1,1,-1,1,"Native 64 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 65",1,"860",1,1,-1,-1,"Native 65 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 65",1,"660",1,1,-1,1,"Native 65 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 66",1,"311",1,1,-1,-1,"Native 66 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 66",1,"401",1,1,-1,1,"Native 66 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 67",1,"489",1,1,-1,-1,"Native 67 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 67",1,"564",1,1,-1,1,"Native 67 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 68",1,"460",1,1,-1,-1,"Native 68 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 68",1,"422",1,1,-1,1,"Native 68 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 69",1,"358",1,1,-1,-1,"Native 69 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 69",1,"905",1,1,-1,1,"Native 69 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 70",1,"358",1,1,-1,-1,"Native 70 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 70",1,"459",1,1,-1,1,"Native 70 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 71",1,"684",1,1,-1,-1,"Native 71 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 71",1,"732",1,1,-1,1,"Native 71 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 72",1,"256",1,1,-1,-1,"Native 72 1","Accessible Mismatch","Inaccessible Mismatch","Native","Critical Region"
"Native 72",1,"376",1,1,-1,1,"Native 72 1","Accessible Mismatch","Inaccessible Mismatch","Native","Spillover Region"
"Native 55",2,"337",-1,-1,-1,-1,"Native 55 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 55",2,"392",-1,-1,-1,1,"Native 55 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 56",2,"651",-1,-1,-1,-1,"Native 56 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 56",2,"1076",-1,-1,-1,1,"Native 56 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 57",2,"414",-1,-1,-1,-1,"Native 57 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 57",2,"376",-1,-1,-1,1,"Native 57 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 58",2,"960",-1,-1,-1,-1,"Native 58 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 58",2,"1280",-1,-1,-1,1,"Native 58 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 59",2,"569",-1,-1,-1,-1,"Native 59 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 59",2,"408",-1,-1,-1,1,"Native 59 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 60",2,"409",-1,-1,-1,-1,"Native 60 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 60",2,"522",-1,-1,-1,1,"Native 60 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 61",2,"328",-1,-1,-1,-1,"Native 61 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 61",2,"344",-1,-1,-1,1,"Native 61 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 62",2,"296",-1,-1,-1,-1,"Native 62 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 62",2,"335",-1,-1,-1,1,"Native 62 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 63",2,"366",-1,-1,-1,-1,"Native 63 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 63",2,"532",-1,-1,-1,1,"Native 63 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 64",2,"306",-1,-1,-1,-1,"Native 64 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 64",2,"305",-1,-1,-1,1,"Native 64 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 65",2,"649",-1,-1,-1,-1,"Native 65 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 65",2,"450",-1,-1,-1,1,"Native 65 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 66",2,"337",-1,-1,-1,-1,"Native 66 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 66",2,"787",-1,-1,-1,1,"Native 66 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 67",2,"806",-1,-1,-1,-1,"Native 67 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 67",2,"394",-1,-1,-1,1,"Native 67 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 68",2,"326",-1,-1,-1,-1,"Native 68 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 68",2,"394",-1,-1,-1,1,"Native 68 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 69",2,"438",-1,-1,-1,-1,"Native 69 2","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 69",2,"511",-1,-1,-1,1,"Native 69 2","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 70",2,"434",-1,-1,-1,-1,"Native 70 2","Accessible Match","Inaccessible Match","Native","Critical Region"
